영화제목,평점,참여명수
샹치와 텐 링즈의 전설,6.76,"5,114"
최선의 삶,8.87,84
건파우더 밀크셰이크,6.30,105
인질,7.36,"3,696"
쇼미더고스트,0.00,0
코다,9.36,336
바쿠라우,7.89,19
맨 인 더 다크 2 ,8.14,383
좋은 사람,7.00,1
슈퍼문,0.00,0
모가디슈,8.33,"13,761"
습도 다소 높음,8.47,47
내가 날 부를 때,0.00,0
죽을 때까지,0.00,0
싱크홀,6.78,"5,803"
사랑에 관한 짧은 필름,8.67,147
생각의 여름,8.28,43
너의 이름은.,8.79,"32,748"
살인에 관한 짧은 필름,8.15,65
리스펙트,8.00,4
날씨의 아이,7.95,"6,045"
꽃다발 같은 사랑을 했다,9.09,349
여름날 우리,8.98,280
노매드랜드,8.47,629
레미니센스,7.01,348
꿈꾸는 고양이,0.00,0
뱅드림! 로젤리아 에피소드 Ⅱ : 송 아이 엠,0.00,0
프리 가이,9.11,"1,749"
자마,7.62,13
분노,8.56,"1,307"
캡틴 판타스틱,8.59,452
스네이크 아이즈: 지.아이.조,0.00,0
해변의 에트랑제,8.03,135
퍼피 구조대 더 무비,9.54,79
극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 팔라딘; 아가트람,8.56,16
박강아름 결혼하다,9.57,35
남색대문,8.23,62
귀문,4.64,620
갈매기,8.94,65
인트로덕션,7.68,92
나는 나대로 혼자서 간다,7.96,27
올드,6.72,731
사운드 오브 데스,0.00,0
이도공간,8.29,225
사제로부터 온 편지,9.83,6
중경삼림,8.92,"2,577"
팜 스프링스,8.25,61
"조제, 호랑이 그리고 물고기들",9.00,228
캐논볼,8.71,28
콰이강의 다리,8.87,202
그린 나이트,7.63,385
소셜 네트워크,7.84,"2,865"
흩어진 밤,7.68,31
잘리카투,7.55,31
사냥의 시간,5.67,"9,588"
켈리 갱,7.43,7
묵향,5.33,3
아담,7.50,6
그대 너머에,0.00,0
블랙 위도우,8.47,"7,253"
언더그라운드,8.00,5
피닉스,8.45,66
교실 안의 야크,9.40,173
다이노 마이 프렌드,6.14,14
더 수어사이드 스쿼드,7.06,"2,244"
숏버스 감성행,8.30,10
하이큐!! 땅 VS 하늘,8.51,177
오필리아,7.84,85
올리버 색스: 그의 생애,9.33,3
"우리, 둘",9.14,44
은혼 더 파이널,9.44,256
69세,8.64,"7,597"
너의 췌장을 먹고 싶어,8.39,"1,070"
암살자들,8.92,52
윤희에게,8.97,"2,587"
화양연화,8.77,"1,897"
갈매기,8.08,142
강변호텔,6.00,410
기담,7.49,"4,088"
너와 파도를 탈 수 있다면,8.58,320
너의 췌장을 먹고 싶어,8.10,"4,909"
더 나이트,5.08,12
더스트맨,8.30,50
데미지,7.52,223
독전,7.52,"18,811"
릴리 슈슈의 모든 것,8.11,"1,350"
메리 크리스마스 미스터 모,8.89,83
몽마르트 파파,9.46,169
바울,9.17,"1,991"
번지 점프를 하다,8.98,"2,611"
베로니카의 이중 생활,8.20,147
북샵,8.74,27
빛나는 순간,8.48,264
세 가지 색 : 레드,8.30,94
세 가지 색 : 블루,8.37,173
수필러브,0.00,0
신세계,8.94,"21,746"
신은 죽지 않았다 3: 어둠 속의 빛,8.29,417
악녀,6.97,"9,379"
에로스,6.79,92
우리의 20세기,8.25,579
이별의 아침에 약속의 꽃을 장식하자,8.91,"1,436"
이스케이프 룸 2: 노 웨이 아웃,8.31,577
이중섭의 아내,7.20,25
정말 먼 곳,8.13,117
천로역정: 천국을 찾아서,8.84,"1,040"
크레센도,9.02,40
트립 투 그리스,5.70,43
하나와 앨리스,8.11,"1,609"
학교 가는 길,9.58,155
해피 투게더,9.19,"1,165"
호우시절,7.40,"1,917"
뉴욕의 왕,8.94,18
라임라이트,9.36,88
모던 타임즈,9.33,"1,200"
미스 사이공: 25주년 특별 공연,9.21,280
서커스,9.38,45
시티 라이트,9.44,201
위대한 독재자,9.24,386
콜,7.57,"5,976"
키드,9.26,151
파리의 여인,9.08,13
황금광시대,9.01,144
