"품목별(1)",품목별(2),2017. 01,2017. 01,2017. 02,2017. 02,2017. 03,2017. 03,2017. 04,2017. 04,2017. 05,2017. 05,2017. 06,2017. 06,2017. 07,2017. 07,2017. 08,2017. 08,2017. 09,2017. 09,2017. 10,2017. 10,2017. 11,2017. 11,2017. 12,2017. 12,2018. 01,2018. 01,2018. 02,2018. 02,2018. 03,2018. 03,2018. 04,2018. 04,2018. 05,2018. 05,2018. 06,2018. 06,2018. 07,2018. 07,2018. 08,2018. 08,2018. 09,2018. 09,2018. 10,2018. 10,2018. 11,2018. 11,2018. 12,2018. 12,2019. 01,2019. 01,2019. 02,2019. 02,2019. 03,2019. 03,2019. 04,2019. 04,2019. 05,2019. 05,2019. 06,2019. 06,2019. 07,2019. 07,2019. 08,2019. 08,2019. 09,2019. 09,2019. 10,2019. 10,2019. 11,2019. 11,2019. 12,2019. 12,2020. 01,2020. 01,2020. 02,2020. 02,2020. 03,2020. 03,2020. 04,2020. 04,2020. 05,2020. 05,2020. 06,2020. 06,2020. 07,2020. 07,2020. 08,2020. 08,2020. 09,2020. 09,2020. 10,2020. 10,2020. 11,2020. 11,2020. 12,2020. 12,2021. 01,2021. 01,2021. 02,2021. 02,2021. 03,2021. 03,2021. 04,2021. 04,2021. 05,2021. 05,2021. 06,2021. 06,2021. 07,2021. 07
"품목별(1)",품목별(2),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%)
"총계",소계,26.9,11.3,-28.9,-19.5,14.7,2.5,-2.7,2.3,7.9,1.6,-8.4,2.3,17.3,1.7,-7.1,-4.7,8.5,-4.9,-7.0,5.3,-12.7,0.0,16.0,2.2,-11.3,-20.2,15.4,23.5,-5.8,1.0,-12.8,-4.5,10.1,-4.5,-3.9,0.2,16.1,-2.5,-2.9,-1.2,11.0,8.1,-21.5,-14.3,-1.0,-2.8,14.6,-3.6,1.8,6.3,-12.8,-13.7,11.7,-1.0,-14.4,-7.7,10.6,-3.6,-13.6,-3.9,14.4,-13.3,7.6,-0.8,3.9,-9.6,-18.4,-4.8,5.0,0.8,5.4,-7.4,11.2,6.2,-25.9,-10.6,4.8,-13.8,-1.4,-1.0,2.2,-9.7,-2.3,-5.3,4.0,-5.5,13.1,-2.3,11.2,5.3,-21.2,2.3,-1.7,-4.1,12.6,2.1,1.4,-11.7,-3.7,15.0,-7.0,2.1,-6.1,-2.8,11.0,5.6,-9.6,-2.4,13.8,7.3
"비식품",소계,13.1,1.7,-19.1,-18.2,12.7,-3.5,-1.6,-2.0,14.2,-3.2,-13.4,-3.8,21.5,-1.7,-17.2,-9.4,0.2,-12.0,10.8,1.2,-8.8,-1.4,11.3,0.5,-20.6,-18.6,10.2,9.0,4.5,1.0,-11.2,-7.2,14.7,-8.0,-8.9,-3.1,18.6,-5.4,-17.6,-7.5,9.1,3.8,-10.4,-18.3,-0.5,-10.7,13.7,-8.4,-13.6,-2.7,-2.5,-11.5,15.1,-4.1,-18.0,-12.6,21.8,-5.5,-17.0,-7.7,9.7,-20.3,-0.6,-2.3,3.0,-10.9,-13.2,-11.5,12.2,-0.4,0.5,-12.2,-5.5,4.8,-27.4,-22.6,2.9,-29.3,4.1,-11.3,25.0,-9.9,-5.4,-1.5,-5.3,-9.4,6.3,-4.2,-3.1,-10.7,0.6,4.8,-2.5,-8.7,-3.5,-12.6,-1.9,-17.4,-3.0,11.4,1.8,10.2,-9.3,-3.9,19.0,-8.6,-12.3,-15.3,13.2,1.4
"비식품",가전/문화,-14.8,4.7,13.1,-14.2,9.7,0.5,-5.2,4.5,26.1,5.7,-19.8,-0.1,36.4,3.7,-36.2,-7.5,8.5,-10.3,20.2,6.2,-9.6,3.7,29.7,9.3,-25.0,-4.7,12.0,18.7,3.3,11.6,-11.2,5.2,21.2,0.0,-15.7,5.1,30.4,1.6,-18.8,0.1,-7.4,10.2,-10.5,-18.9,5.6,-5.1,24.8,-8.0,-20.7,-4.9,7.0,-7.7,16.2,2.8,-23.5,-11.7,27.4,-5.8,-21.3,-7.3,10.0,-26.6,0.4,-8.2,-7.9,-10.0,-10.2,-9.3,17.7,1.1,6.5,-10.0,-26.3,10.5,-14.7,-20.9,11.3,-23.6,3.7,1.4,30.2,1.3,-14.1,6.4,-5.6,1.8,17.8,17.1,-17.5,1.5,5.1,22.2,7.4,11.7,2.6,-0.4,0.3,9.9,-13.0,21.8,5.6,15.3,-14.3,-4.8,27.5,-7.1,-22.1,-15.2,27.3,15.0
"비식품",의류,53.9,-2.5,-54.1,-17.9,22.9,-8.1,16.6,-2.3,12.7,-4.2,-23.9,-5.5,12.1,2.3,33.0,-10.4,-34.8,-10.0,40.2,5.1,3.6,5.7,-14.1,-0.8,-33.3,-24.5,4.3,4.3,18.4,0.2,1.5,-12.8,14.7,-11.4,-15.8,-1.9,7.8,-4.8,-34.3,-8.0,51.8,8.3,16.4,-10.0,-5.1,-17.5,-2.8,-6.7,-34.1,-7.9,-0.5,-11.6,23.1,-11.5,-4.2,-16.4,29.2,-5.1,-24.1,-12.4,-4.4,-25.5,-17.6,-6.2,24.8,-22.3,10.8,-25.6,19.0,-6.9,-19.5,-23.4,-24.9,-9.4,-30.2,-46.5,9.0,-50.6,28.7,-33.6,39.1,-28.4,0.4,-10.7,-18.3,-21.2,-15.5,-20.2,7.6,-28.2,52.5,-0.4,-11.0,-23.7,-21.0,-33.1,-23.6,-29.3,11.1,32.5,28.4,56.1,14.1,18.1,18.9,-11.9,-10.1,-10.4,-7.9,-3.5
"비식품",가정/생활,29.1,2.5,-22.9,-19.5,9.0,-4.1,-6.8,-4.9,5.8,-7.1,-3.9,-4.7,14.3,-4.8,-7.8,-8.5,7.4,-11.7,-4.4,-2.1,-14.1,-7.2,9.3,-5.9,-8.9,-24.4,12.5,6.7,-2.5,-4.5,-17.1,-11.2,8.1,-11.3,0.2,-7.5,13.0,-10.0,-7.4,-12.0,14.1,-0.4,-18.6,-19.8,-2.0,-8.5,9.4,-8.3,5.2,2.3,-10.6,-14.1,11.2,-4.8,-18.7,-10.2,10.9,-5.2,-9.9,-5.1,14.2,-11.9,7.3,5.0,7.8,-7.5,-22.9,-7.2,6.4,0.5,9.4,-9.1,22.9,6.3,-29.4,-12.9,-1.9,-20.0,-5.1,-7.1,8.0,-11.0,4.3,-2.9,1.4,-6.7,6.4,-8.3,9.2,-6.6,-18.3,-0.6,-4.0,-11.4,0.1,-10.0,5.2,-26.6,1.9,2.8,-11.0,-6.8,-8.6,-10.3,12.0,-7.9,-4.7,-15.3,10.7,-7.4
"비식품",스포츠,-2.8,-10.5,-17.8,-21.1,30.0,-12.2,18.1,-9.7,12.6,-10.6,-10.1,-6.5,22.2,-10.9,-26.2,-14.6,-15.6,-15.4,29.3,-2.9,-14.6,-0.5,-2.3,-5.1,-24.4,-19.8,-4.5,-7.5,32.9,-5.5,0.5,-19.6,18.4,-15.5,-4.1,-9.9,24.1,-9.3,-28.9,-11.9,-5.3,-0.9,4.8,-19.9,-12.2,-17.5,7.1,-9.6,-27.9,-14.1,2.6,-7.3,31.6,-9.2,-6.0,-15.1,29.3,-6.3,-13.6,-11.0,12.8,-24.0,-11.5,-4.7,-14.3,-14.3,8.1,-11.4,0.4,0.9,-10.1,-15.4,-15.4,1.3,-41.1,-30.7,11.8,-41.4,33.2,-15.2,34.6,-12.9,-7.1,-6.1,-6.6,-24.4,-2.7,-18.0,-21.9,-24.0,39.7,0.6,-14.0,-12.9,-16.4,-19.8,-12.0,-20.2,-0.2,16.8,30.9,36.9,3.9,7.3,17.8,-6.0,-9.7,-8.4,14.0,11.8
"비식품",잡화,5.8,4.6,-21.3,-21.9,17.4,-3.1,-0.1,-3.1,12.7,-7.6,-14.2,-6.4,14.9,-3.7,-23.1,-12.4,9.1,-16.1,10.1,-2.1,-1.5,-3.8,6.4,-0.6,-25.6,-25.8,8.7,2.1,10.3,-4.1,-9.1,-12.6,13.1,-12.3,-8.8,-6.7,10.2,-9.5,-23.0,-10.6,23.6,1.5,-12.5,-19.5,-0.4,-18.4,16.3,-10.8,-20.3,-4.5,-3.7,-14.9,12.3,-12.1,-14.4,-17.1,28.1,-5.5,-18.7,-9.6,6.1,-18.9,-9.1,-3.7,12.9,-13.2,-13.3,-13.3,15.3,-0.3,-16.1,-16.7,-17.7,-2.4,-44.4,-41.5,-11.7,-56.1,26.1,-34.8,72.3,-14.3,-14.5,-5.5,-16.2,-29.1,-6.8,-26.8,-5.5,-37.1,27.1,-9.6,-11.6,-31.1,-13.8,-34.1,-17.7,-42.0,4.9,1.1,19.5,36.9,-30.7,-3.9,19.4,-15.2,-9.5,-29.4,5.2,-4.1
"식품",소계,42.5,18.5,-35.2,-20.5,16.3,7.6,-3.4,6.1,3.2,6.0,-4.2,7.6,14.2,4.8,1.0,-1.2,14.3,-0.3,-17.4,8.8,-15.9,1.2,20.1,3.8,-4.3,-21.4,19.0,34.7,-12.2,1.1,-14.0,-2.4,6.8,-1.8,0.1,2.7,14.4,-0.4,8.0,2.8,12.2,10.6,-27.9,-11.6,-1.3,3.4,15.5,-0.1,12.5,12.0,-18.2,-15.0,8.8,1.6,-12.3,-4.0,3.8,-1.8,-11.3,-0.8,17.8,-7.7,12.9,0.6,4.6,-8.6,-21.6,0.1,0.7,2.0,6.6,-4.0,22.7,7.0,-25.0,-2.9,6.2,-3.3,-4.0,5.9,-9.6,-9.1,-0.2,-7.1,10.0,-2.7,17.2,-0.6,19.4,14.9,-30.9,1.7,-1.2,-0.3,22.6,12.4,3.0,-8.4,-4.1,17.1,-11.3,-2.1,-4.4,-2.5,6.9,15.2,-8.3,6.0,14.4,10.9
