name,lattitude,longitude,address
서울시50플러스 서부캠퍼스,37.607184,126.9344523,서울시 은평구 통일로62길 7
강서50플러스센터,37.56644612,126.8428084," 서울시 강서구 강서로56가길 166, 경동미르웰양천향교2차 203동 B1, 1층, 2층"
서울시50플러스 중부캠퍼스,37.54743869,126.9505918,"서울시 마포구 백범로31길 21, 서울복지타운 2층"
양천50플러스센터,37.51605562,126.8436785,양천구 남부순환로 83길 53(신월동)
영등포50플러스센터,37.51770519,126.93038,서울시 영등포구 여의대방로 372(여의도동 56-1) 여의도복지관 3층
서울시50플러스 남부캠퍼스,37.48809562,126.8405985,서울시 구로구 오류로 36-25
금천50플러스센터,37.46748353,126.8944292,서울시 금천구 범안로17길 22
서대문50플러스센터,37.5915118,126.9429722,서울시 서대문구 통일로 484 (홍은동 48-84) 유진상가 2층
노원50플러스센터,37.65614975,127.0707049,서울시 노원구 노원로30길 73 (상계2동 181-14)
서울시50플러스 북부캠퍼스,37.65554956,127.0481922,"서울시 도봉구 마들로13길 84(창동, 창동 아우르네)"
성북50플러스센터,37.58388251,127.0192776,서울시 성북구 지봉로 24길 26 (보문동 5가 35번지) 3-4층
서울시50플러스재단,37.54735231,126.9506163,서울시 마포구 백범로 31길 21 서울복지타운
도심권50플러스센터,37.57234103,126.9904491,서울시 종로구 수표로26길 28 동의빌딩
광진50플러스 상담센터,37.53855031,127.0823879,서울시 광진구 자양로 117 (광진구청 민원복지동2층)
서울시50플러스 동부캠퍼스,37.53402442,127.0632874,서울시 광진구 자양동 57-153
서울시50플러스 동남캠퍼스,37.50071992,127.0307453,서울시 강남구 테헤란로7길 22(역삼동)
서초50플러스센터,37.46193372,127.0512294,서울시 서초구 염곡동 180-11
동작50플러스센터,37.51298156,126.9415824,서울시 동작구 노량진로 140 메가스터디타워 2층(노량진동 57-1)
강동50플러스센터,37.54820302,127.1271302,서울특별시 강동구 올림픽로 752 (천호동)
