동,인구
사직동,520 
삼청동,221 
부암동,437 
평창동,695 
무악동,261 
교남동,365 
가회동,274 
종로1.2.3.4가동,920 
종로5·6가동,371 
이화동,374 
창신1동,405 
창신2동,468 
창신3동,250 
숭인1동,311 
숭인2동,539 
청운효자동,515 
혜화동,682 
소공동,64 
회현동,356 
명동,156 
필동,302 
장충동,206 
광희동,331 
을지로동,182 
신당5동,369 
황학동,410 
중림동,359 
신당동,372 
다산동,500 
약수동,629 
청구동,431 
동화동,270 
후암동,622 
용산2가동,396 
남영동,433 
원효로2동,361 
효창동,250 
용문동,313 
이촌1동,819 
이촌2동,328 
이태원1동,305 
이태원2동,400 
서빙고동,403 
보광동,507 
청파동,672 
원효로1동,412 
한강로동,671 
한남동,794 
왕십리2동,581 
마장동,957 
사근동,413 
행당1동,485 
행당2동,741 
응봉동,498 
금호1가동,637 
금호4가동,542 
성수1가1동,527 
성수1가2동,401 
성수2가1동,769 
성수2가3동,425 
송정동,509 
용답동,685 
왕십리도선동,893 
금호2.3가동,856 
옥수동,743 
화양동,484 
군자동,535 
중곡1동,427 
중곡2동,493 
중곡3동,550 
중곡4동,795 
능동,265 
구의1동,534 
구의2동,671 
구의3동,572 
광장동,459 
자양1동,608 
자양2동,537 
자양3동,584 
자양4동,706 
회기동,351 
휘경1동,362 
휘경2동,681 
청량리동,972 
용신동,1214 
제기동,1229 
전농1동,1086 
전농2동,522 
답십리2동,800 
장안1동,981 
장안2동,822 
이문1동,589 
이문2동,589 
답십리1동,642 
면목2동,888 
면목4동,510 
면목5동,343 
면목7동,664 
상봉1동,504 
상봉2동,597 
중화1동,552 
중화2동,891 
묵1동,726 
묵2동,569 
망우3동,581 
신내1동,648 
신내2동,643 
면목본동,1093 
면목3.8동,822 
망우본동,995 
돈암1동,404 
돈암2동,415 
안암동,455 
보문동,494 
정릉1동,479 
정릉2동,711 
정릉3동,613 
정릉4동,836 
길음1동,606 
길음2동,380 
월곡1동,698 
월곡2동,618 
장위1동,621 
장위2동,488 
장위3동,266 
성북동,632 
삼선동,739 
동선동,491 
종암동,1145 
석관동,1169 
번1동,668 
번2동,593 
번3동,529 
수유1동,736 
수유2동,720 
수유3동,857 
삼양동,886 
미아동,883 
송중동,976 
송천동,1234 
삼각산동,494 
우이동,873 
인수동,1224 
쌍문1동,629 
쌍문2동,657 
쌍문3동,527 
쌍문4동,418 
방학1동,830 
방학2동,688 
방학3동,660 
창1동,818 
창2동,779 
창3동,478 
창4동,676 
창5동,630 
도봉1동,1046 
도봉2동,973 
월계1동,624 
월계2동,629 
월계3동,808 
공릉2동,744 
하계1동,546 
하계2동,349 
중계본동,347 
중계1동,277 
중계4동,519 
상계1동,849 
상계2동,460 
상계5동,827 
상계8동,519 
상계9동,596 
상계10동,410 
상계3.4동,782 
상계6.7동,986 
중계2.3동,957 
공릉1동,924 
녹번동,1601 
불광1동,1670 
갈현1동,954 
갈현2동,874 
구산동,951 
대조동,1129 
응암1동,917 
응암2동,609 
신사1동,780 
신사2동,685 
증산동,524 
수색동,332 
진관동,866 
불광2동,1465 
응암3동,1382 
역촌동,1606 
천연동,610 
홍제1동,770 
홍제3동,612 
홍제2동,413 
홍은1동,708 
홍은2동,827 
남가좌1동,276 
남가좌2동,734 
북가좌1동,364 
북가좌2동,1048 
충현동,627 
북아현동,401 
신촌동,425 
연희동,1068 
용강동,489 
대흥동,412 
염리동,498 
신수동,528 
서교동,583 
합정동,553 
망원1동,486 
망원2동,511 
연남동,420 
성산1동,456 
성산2동,1022 
상암동,552 
도화동,599 
서강동,596 
공덕동,1191 
아현동,396 
목1동,392 
목2동,601 
목3동,500 
목4동,470 
신월1동,806 
신월2동,484 
신월3동,570 
신월4동,375 
신월5동,315 
신월6동,188 
신월7동,790 
신정1동,334 
신정2동,255 
신정3동,984 
신정6동,314 
신정7동,563 
목5동,494 
신정4동,867 
염창동,504 
등촌1동,634 
등촌2동,364 
등촌3동,776 
화곡본동,694 
화곡2동,405 
화곡3동,547 
화곡4동,554 
화곡6동,603 
화곡8동,645 
가양1동,405 
가양2동,453 
가양3동,470 
발산1동,532 
공항동,585 
방화1동,820 
방화2동,764 
방화3동,843 
화곡1동,1247 
우장산동,644 
신도림동,508 
구로1동,322 
구로3동,528 
구로4동,837 
구로5동,781 
고척1동,676 
고척2동,835 
개봉2동,744 
개봉3동,650 
오류1동,599 
오류2동,912 
수궁동,674 
가리봉동,536 
구로2동,1094 
개봉1동,936 
가산동,395 
독산1동,763 
독산2동,675 
독산3동,777 
독산4동,466 
시흥1동,1194 
시흥2동,424 
시흥3동,430 
시흥4동,539 
시흥5동,763 
여의동,841 
당산1동,604 
당산2동,568 
양평1동,431 
양평2동,343 
신길1동,695 
신길3동,536 
신길4동,363 
신길5동,288 
신길6동,494 
신길7동,256 
대림1동,558 
대림2동,547 
대림3동,668 
영등포본동,737 
영등포동,749 
도림동,576 
문래동,605 
노량진2동,564 
상도1동,862 
상도2동,644 
상도3동,684 
상도4동,895 
사당1동,637 
사당3동,563 
사당4동,428 
사당5동,358 
대방동,885 
신대방1동,662 
신대방2동,445 
흑석동,1000 
노량진1동,951 
사당2동,820 
보라매동,823 
청림동,480 
행운동,719 
낙성대동,442 
중앙동,522 
인헌동,684 
남현동,424 
서원동,589 
신원동,680 
서림동,724 
신사동,675 
신림동,485 
난향동,451 
조원동,570 
대학동,657 
은천동,934 
성현동,787 
청룡동,943 
난곡동,986 
삼성동,1032 
미성동,961 
서초1동,400 
서초2동,325 
서초3동,625 
서초4동,412 
잠원동,464 
반포본동,171 
반포1동,516 
반포2동,193 
반포3동,404 
반포4동,358 
방배본동,374 
방배1동,340 
방배2동,487 
방배3동,374 
방배4동,490 
양재1동,744 
양재2동,430 
내곡동,404 
신사동,404 
논현1동,460 
논현2동,442 
삼성1동,245 
삼성2동,480 
대치1동,183 
대치4동,273 
역삼1동,547 
역삼2동,445 
도곡1동,378 
도곡2동,557 
개포1동,172 
개포4동,316 
일원본동,381 
일원1동,353 
일원2동,413 
수서동,482 
세곡동,343 
압구정동,716 
청담동,454 
대치2동,470 
개포2동,337 
풍납1동,473 
풍납2동,530 
거여1동,356 
거여2동,592 
마천1동,686 
마천2동,669 
방이1동,267 
방이2동,597 
오륜동,259 
오금동,900 
송파1동,524 
송파2동,309 
석촌동,834 
삼전동,694 
가락본동,576 
가락1동,395 
가락2동,498 
문정1동,353 
문정2동,405 
잠실본동,665 
잠실4동,355 
잠실6동,304 
잠실7동,245 
잠실2동,474 
잠실3동,684 
장지동,551 
위례동,211 
강일동,487 
상일동,403 
명일1동,509 
명일2동,245 
고덕1동,259 
고덕2동,351 
암사2동,338 
암사3동,265 
천호1동,864 
천호3동,805 
성내1동,411 
성내2동,832 
성내3동,574 
둔촌1동,1 
둔촌2동,620 
암사1동,972 
천호2동,1061 
길동,1177 
